Year,Title,OscarNominations,Winner
2001,In the Bedroom,5,0
2001,Gosford Park,7,0
2001,The Lord of the Rings: The Fellowship of the Ring,13,0
2001,Moulin Rouge,8,0
2001,A Beautiful Mind,8,1
2002,The Lord of the Rings: The Two Towers,6,0
2002,The Pianist,7,0
2002,The Hours,9,0
2002,Gangs of New York,10,0
2002,Chicago,13,1
2003,Seabiscuit,7,0
2003,Master and Commander: The Far Side of the World,10,0
2003,Mystic River,6,0
2003,Lost in Translation,4,0
2003,The Lord of the Rings: The Return of the King,11,1
2004,Sideways,5,0
2004,Finding Neverland,7,0
2004,Ray,6,0
2004,Million Dollar Baby,7,1
2004,The Aviator,11,0
2005,Crash,6,1
2005,Brokeback Mountain,8,0
2005,Capote,5,0
2005,"Good Night, and Good Luck",6,0
2005,Munich,5,0
2006,Babel,7,0
2006,The Departed,5,1
2006,Letters from Iwo Jima,4,0
2006,Little Miss Sunshine,4,0
2006,The Queen,6,0
2007,Atonement,7,0
2007,Juno,4,0
2007,Michael Clayton,7,0
2007,There Will Be Blood,8,0
2007,No Country For Old Mean,8,1
2008,The Curious Case of Benjamin Button,13,0
2008,Frost / Nixon,5,0
2008,Milk,8,0
2008,The Reader,5,0
2008,Slumdog Millionaire,10,1
2009,The Hurt Locker,9,1
2009,Avatar,9,0
2009,The Blind Side,2,0
2009,District 9,4,0
2009,An Education,3,0
2009,Inglourious Bastards,8,0
2009,Precious,6,0
2009,A Serious Man,2,0
2009,Up,5,0
2009,Up in the Air,6,0
2010,The King's Speech,12,1
2010,Black Swan,5,0
2010,The Fighter,7,0
2010,Inception,8,0
2010,The Kids Are All Right,4,0
2010,127 Hours,6,0
2010,The Social Network,8,0
2010,Toy Story 3,5,0
2010,True Grit,10,0
2010,Winter's Bone,4,0
2011,The Artist,10,1
2011,The Descendants,5,0
2011,Extremely Loud and Incredibly Close,2,0
2011,The Help,4,0
2011,Midnight in Paris,4,0
2011,Moneyball,6,0
2011,The Tree of Life,3,0
2011,War Horse,6,0
2012,Argo,7,1
2012,Amour,5,0
2012,Beasts of the Southern Wild,4,0
2012,Django Unchained,5,0
2012,Les Miserables,8,0
2012,Life of Pi,11,0
2012,Lincoln,12,0
2012,Silver Linings Playbook,8,0
2012,Zero Dark Thirty,5,0
2013,12 Years a Slave,6,1
2013,American Hustle,10,0
2013,Captain Phillips,6,0
2013,Dallas Buyers Club,6,0
2013,Gravity,10,0
2013,Her,5,0
2013,Nebraska,6,0
2013,Philomena,4,0
2013,The Wolf of Wall Street,5,0
2014,Birdman,9,1
2014,American Sniper,6,0
2014,Boyhood,6,0
2014,The Grand Budapest Hotel,9,0
2014,The Imitation Game,8,0
2014,Selma,2,0
2014,The Theory of Everything,5,0
2014,Whiplash,5,0
2015,Spotlight,6,1
2015,The Big Short,5,0
2015,Bridge of Spies,6,0
2015,Brooklyn,3,0
2015,Mad Max: Fury Road,10,0
2015,The Martian,7,0
2015,The Revenant,12,0
2015,Room,4,0
2016,Moonlight,8,1
2016,Arrival,8,0
2016,Fences,4,0
2016,Hacksaw Ridge,6,0
2016,Hell or High Water,4,0
2016,Hidden Figures,3,0
2016,La La Land,14,0
2016,Lion ,6,0
2016,Manchester by the Sea,6,0
